iter	MultiClass
0	1.366856064
1	1.303749009
2	1.271896282
3	1.244440414
4	1.233350705
5	1.226795015
6	1.222082219
7	1.219612698
8	1.216549376
9	1.214218066
10	1.21216901
11	1.211113959
12	1.20945704
13	1.20928091
14	1.207416189
15	1.20501389
16	1.204590264
17	1.20233248
18	1.200548325
19	1.199100733
20	1.197979217
21	1.197137847
22	1.196327878
23	1.195358806
24	1.193593479
25	1.193225737
26	1.191908945
27	1.190731922
28	1.189569204
29	1.18862121
30	1.187340407
31	1.186611467
32	1.185575174
33	1.185123566
34	1.183417469
35	1.182374306
36	1.181001545
37	1.180131239
38	1.179106093
39	1.178172935
40	1.176860215
41	1.175982266
42	1.174778667
43	1.172685318
44	1.171703999
45	1.170955517
46	1.170277531
47	1.16964015
48	1.168579295
49	1.167863601
50	1.167002562
51	1.166521545
52	1.165374853
53	1.164600114
54	1.163399833
55	1.162017516
56	1.160946034
57	1.160259426
58	1.159099109
59	1.158526612
60	1.157798805
61	1.157487855
62	1.157190299
63	1.156107069
64	1.155049424
65	1.154820797
66	1.154618848
67	1.153709668
68	1.152843925
69	1.152338835
70	1.152243815
71	1.151303837
72	1.150379243
73	1.149332956
74	1.14882409
75	1.148119338
76	1.14793691
77	1.146984777
78	1.146311313
79	1.145351397
80	1.144088416
81	1.143409867
82	1.143053041
83	1.142563268
84	1.141483695
85	1.141104641
86	1.140338787
87	1.139446457
88	1.138569649
89	1.137576759
90	1.136996245
91	1.13619088
92	1.135789729
93	1.135037612
94	1.134221056
95	1.133073922
96	1.13193712
97	1.131022874
98	1.130503446
99	1.128957062
