iter	Passed	Remaining
0	10	3252
1	17	2602
2	22	2188
3	27	2000
4	31	1880
5	37	1837
6	43	1825
7	48	1760
8	52	1691
9	57	1672
10	62	1646
11	69	1668
12	75	1663
13	81	1670
14	87	1664
15	91	1630
16	95	1595
17	99	1559
18	103	1533
19	107	1504
20	111	1479
21	115	1454
22	119	1440
23	124	1437
24	130	1432
25	136	1440
26	140	1421
27	144	1406
28	149	1392
29	153	1383
30	161	1402
31	168	1407
32	176	1426
33	180	1415
34	186	1412
35	190	1396
36	194	1381
37	198	1368
38	202	1353
39	206	1339
40	210	1326
41	216	1332
42	220	1320
43	225	1309
44	228	1296
45	234	1292
46	238	1281
47	242	1272
48	247	1266
49	253	1267
50	257	1256
51	261	1248
52	268	1250
53	274	1249
54	279	1245
55	285	1243
56	290	1237
57	296	1238
58	301	1232
59	305	1222
60	310	1216
61	315	1211
62	322	1214
63	329	1216
64	336	1216
65	352	1248
66	359	1251
67	366	1249
68	374	1252
69	388	1277
70	399	1288
71	405	1284
72	413	1284
73	418	1277
74	424	1273
75	433	1277
76	443	1283
77	449	1280
78	456	1277
79	467	1284
80	476	1287
81	483	1284
82	487	1275
83	497	1280
84	503	1272
85	513	1278
86	518	1269
87	524	1264
88	530	1258
89	535	1248
90	541	1243
91	546	1235
92	551	1226
93	558	1223
94	561	1212
95	566	1203
96	573	1199
97	580	1195
98	583	1185
99	591	1183
100	596	1176
101	602	1169
102	608	1163
103	613	1155
104	619	1151
105	626	1146
106	631	1139
107	639	1136
108	647	1134
109	653	1129
110	660	1123
111	665	1117
112	673	1114
113	680	1110
114	688	1107
115	694	1100
116	702	1098
117	707	1090
118	712	1082
119	722	1084
120	728	1078
121	738	1077
122	749	1078
123	758	1076
124	771	1080
125	780	1077
126	792	1079
127	802	1077
128	809	1073
129	819	1072
130	832	1073
131	838	1067
132	846	1062
133	852	1056
134	861	1053
135	870	1049
136	880	1047
137	886	1040
138	896	1037
139	902	1031
140	908	1024
141	915	1018
142	920	1010
143	929	1007
144	934	999
145	943	995
146	949	988
147	955	981
148	963	976
149	969	969
150	979	966
151	984	958
152	991	952
153	997	946
154	1005	940
155	1014	936
156	1019	928
157	1027	923
158	1032	915
159	1042	912
160	1047	904
161	1054	898
162	1061	892
163	1067	885
164	1076	880
165	1081	873
166	1092	870
167	1098	862
168	1105	856
169	1111	849
170	1120	845
171	1126	838
172	1135	833
173	1142	827
174	1146	818
175	1155	813
176	1160	806
177	1169	801
178	1175	794
179	1181	787
180	1187	781
181	1193	774
182	1203	769
183	1208	761
184	1216	756
185	1221	748
186	1229	743
187	1237	737
188	1244	730
189	1253	725
190	1258	718
191	1268	713
192	1273	706
193	1283	701
194	1289	694
195	1298	689
196	1304	682
197	1314	677
198	1320	670
199	1330	665
200	1336	658
201	1346	653
202	1352	646
203	1359	639
204	1366	633
205	1371	625
206	1376	618
207	1382	611
208	1386	603
209	1393	597
210	1398	589
211	1402	582
212	1409	575
213	1412	567
214	1417	560
215	1423	553
216	1428	546
217	1432	538
218	1439	532
219	1444	525
220	1448	517
221	1455	511
222	1460	504
223	1465	497
224	1471	490
225	1478	484
226	1483	477
227	1490	470
228	1494	463
229	1499	456
230	1509	450
231	1514	443
232	1526	438
233	1531	431
234	1539	425
235	1545	419
236	1552	412
237	1557	405
238	1561	398
239	1569	392
240	1575	385
241	1580	378
242	1588	372
243	1593	365
244	1606	360
245	1611	353
246	1619	347
247	1626	340
248	1629	333
249	1636	327
250	1641	320
251	1647	313
252	1652	307
253	1657	300
254	1664	293
255	1668	286
256	1673	280
257	1680	273
258	1685	266
259	1690	260
260	1697	253
261	1741	252
262	1749	246
263	1755	239
264	1771	233
265	1776	227
266	1780	220
267	1785	213
268	1790	206
269	1795	199
270	1799	192
271	1805	185
272	1810	179
273	1814	172
274	1819	165
275	1825	158
276	1829	151
277	1834	145
278	1840	138
279	1845	131
280	1849	125
281	1855	118
282	1864	111
283	1871	105
284	1877	98
285	1881	92
286	1885	85
287	1891	78
288	1895	72
289	1899	65
290	1904	58
291	1909	52
292	1914	45
293	1918	39
294	1924	32
295	1928	26
296	1933	19
297	1937	13
298	1943	6
299	1946	0
